codigo_fabricante,descripcion,marca_prioridad,marca,categoria_producto,proveedor,archivo_imagen,tiene_foto,precio_publico,stock_deposito,notas
04.FRE0001,FRENTE PLASTICO 465 Y 467,Brogas,Brogas,ANAFE CARTUCHO 465,Brogas,04.FRE0001.webp,no,3793.78,0.0,Origen lista: RI
04.PER0001,PERILLA 465/467,Brogas,Brogas,ANAFE CARTUCHO 465,Brogas,04.PER0001.webp,no,1896.91,0.0,Origen lista: RI
04.QUE0001,QUEMADOR 465 Y 467,Brogas,Brogas,ANAFE CARTUCHO 465,Brogas,04.QUE0001.webp,no,11381.38,0.0,Origen lista: RI
04.VAL0001,VALVULA 465,Brogas,Brogas,ANAFE CARTUCHO 465,Brogas,04.VAL0001.webp,no,11381.38,0.0,Origen lista: RI
00.INY0012,INYECTOR  Ø 0.90 (1/4-32),Brogas,Brogas,ANAFES A GAS 1 Y 2 HORNALLAS,Brogas,00.INY0012.webp,no,679.43,0.0,Origen lista: RN
00.INY0018,INYECTOR  Ø 0.60 (1/4-32),Brogas,Brogas,ANAFES A GAS 1 Y 2 HORNALLAS,Brogas,00.INY0018.webp,no,679.44,0.0,Origen lista: RN
00.INY0032,"INYECTOR 0,25 (490/492/480/482)",Brogas,Brogas,ANAFES A GAS 1 Y 2 HORNALLAS,Brogas,00.INY0032.webp,no,174.92,0.0,Origen lista: RI
00.PER0007,PERILLA POLIPROP VGO GRUESO CORTE ARRIBA - ANAFES CON TERMOCUPLA,Brogas,Brogas,ANAFES A GAS 1 Y 2 HORNALLAS,Brogas,00.PER0007.webp,no,257.27,0.0,Origen lista: RN
00.RED0002,REDUCCION BARRAL - ANAFE COMUN,Brogas,Brogas,ANAFES A GAS 1 Y 2 HORNALLAS,Brogas,00.RED0002.webp,no,737.05,0.0,Origen lista: RI
00.ROB0005,ROBINETE 1/8 M X LISO PORT. INY. G.E,Brogas,Brogas,ANAFES A GAS 1 Y 2 HORNALLAS,Brogas,00.ROB0005.webp,no,9604.77,0.0,Origen lista: RN
00.ROB0006,ROBINETE 1/8 M X LISO PORT. INY. G.N,Brogas,Brogas,ANAFES A GAS 1 Y 2 HORNALLAS,Brogas,00.ROB0006.webp,no,9604.77,0.0,Origen lista: RN
00.TER0002,TERMOCUPLA 300MM,Brogas,Brogas,ANAFES A GAS 1 Y 2 HORNALLAS,Brogas,00.TER0002.webp,no,4703.79,0.0,Origen lista: RI
00.UNI0001,UNIDAD MAGNÉTICA UM-11,Brogas,Brogas,ANAFES A GAS 1 Y 2 HORNALLAS,Brogas,00.UNI0001.webp,no,4494.17,0.0,Origen lista: RI
01.BAR8100,BARRAL DE ANAFE 1H - ANAFE CON TERMOCUPLA,Brogas,Brogas,ANAFES A GAS 1 Y 2 HORNALLAS,Brogas,01.BAR8100.webp,no,2773.88,0.0,Origen lista: RN
01.BAR8202,BARRAL DE ANAFE 2H - ANAFE CON TERMOCUPLA,Brogas,Brogas,ANAFES A GAS 1 Y 2 HORNALLAS,Brogas,01.BAR8202.webp,no,3511.62,0.0,Origen lista: RN
01.QUE204.Z,QUEMADOR SUELTO ZINCADO  - ANAFE COMUN,Brogas,Brogas,ANAFES A GAS 1 Y 2 HORNALLAS,Brogas,01.QUE204.Z.webp,no,902.86,0.0,Origen lista: RN
01.REJ104.Z,REJILLA ANAFE 1H CINCADO AZUL,Brogas,Brogas,ANAFES A GAS 1 Y 2 HORNALLAS,Brogas,01.REJ104.Z.webp,no,2251.43,0.0,Origen lista: RN
