codigo_fabricante,descripcion,marca,categoria_producto,unidad_medida,precio_publico,costo,proveedor,codigo_barras,stock_deposito,activo,notas
ABRANORT-1,"ABRAZADERA  PARA  GAS   12 - 17 MM   (5/8"")",ABRANORT,SANITARIOS / ABRAZADERAS,Unidades,589.0,589.0,Gran Ferretero,ABRANORT-1,0.0,si,Lista vigente junio 2026 | codigo original GF: 1
ACEITEX-11130,ACEITE en AEROSOL - ARRANCA MOTORES x 440 cc,ACEITEX,LUBRICANTES / ACEITE PARA MOTORES,Unidades,9494.97,9494.97,Gran Ferretero,ACEITEX-11130,0.0,si,Lista vigente junio 2026 | codigo original GF: 11130
ACEITEX-12,ACEITE en AEROSOL - LIMPIA CONTACTO x 220 cc,ACEITEX,LUBRICANTES / ACEITE MULTIUSO,Unidades,6182.73,6182.73,Gran Ferretero,ACEITEX-12,0.0,si,Lista vigente junio 2026 | codigo original GF: 12
ACEITEX-13,ACEITE en AEROSOL - ANTIADHERENTE / SOLDADURAS x 440 cc,ACEITEX,LUBRICANTES / ACEITE MULTIUSO,Unidades,6034.04,6034.04,Gran Ferretero,ACEITEX-13,0.0,si,Lista vigente junio 2026 | codigo original GF: 13
ACEITEX-14,ACEITE para MOTOR  - 2T x  100 cc,ACEITEX,LUBRICANTES / ACEITE PARA MOTORES,Unidades,2150.0,2150.0,Gran Ferretero,ACEITEX-14,0.0,si,Lista vigente junio 2026 | codigo original GF: 14
ACEITEX-15,ACEITE para MOTOR  - 2T x  500 cc,ACEITEX,LUBRICANTES / ACEITE PARA MOTORES,Unidades,10311.14,10311.14,Gran Ferretero,ACEITEX-15,0.0,si,Lista vigente junio 2026 | codigo original GF: 15
ACEITEX-19,ACEITE con APLICADOR - 100 cc - MULTIUSO -,ACEITEX,LUBRICANTES / ACEITE MULTIUSO,Unidades,1180.18,1180.18,Gran Ferretero,ACEITEX-19,0.0,si,Lista vigente junio 2026 | codigo original GF: 19
ACEITEX-23,ACEITE con APLICADOR - 100 cc - BICICLETA -,ACEITEX,LUBRICANTES / ACEITE PARA MOTORES,Unidades,1262.75,1262.75,Gran Ferretero,ACEITEX-23,0.0,si,Lista vigente junio 2026 | codigo original GF: 23
ACEITEX-24,GRASA - GRAFITADA - AEROSOL - 250 cc,ACEITEX,LUBRICANTES / GRASA GRAFITADA,Unidades,4925.12,4925.12,Gran Ferretero,ACEITEX-24,0.0,si,Lista vigente junio 2026 | codigo original GF: 24
ACEITEX-25,GRASA - VASELINADA  - 90 grs,ACEITEX,LUBRICANTES / GRASA SILICONADA,Unidades,3416.69,3416.69,Gran Ferretero,ACEITEX-25,0.0,si,Lista vigente junio 2026 | codigo original GF: 25
ACEITEX-35,GRASA - LITIO - AEROSOL - 220 cc,ACEITEX,LUBRICANTES / GRASA LITIO,Unidades,5073.24,5073.24,Gran Ferretero,ACEITEX-35,0.0,si,Lista vigente junio 2026 | codigo original GF: 35
ACEITEX-36,ACEITE en AEROSOL - MULTIUSO x 220 cc,ACEITEX,LUBRICANTES / ACEITE MULTIUSO,Unidades,4120.9,4120.9,Gran Ferretero,ACEITEX-36,0.0,si,Lista vigente junio 2026 | codigo original GF: 36
